icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt,squawk,spi,position_source
76cee2,SIA26   ,Singapore,1775071735.0,1775071744,86.5543,19.5299,9144.0,False,245.18,315.34,0.0,,9639.3,0145,False,0
76ceeb,SIA25   ,Singapore,1775071754.0,1775071754,87.6109,18.2828,10668.0,False,267.67,132.27,0.0,,11262.36,7660,False,0
750584,AXM70   ,Malaysia,1775071715.0,1775071715,98.4757,13.5872,10058.4,False,236.29,152.93,0.0,,10690.86,,False,0
75056b,MXD216  ,Malaysia,1775071753.0,1775071753,75.6192,19.6784,10058.4,False,261.96,96.43,0.0,,10553.7,,False,0
750585,AXM93   ,Malaysia,1775071754.0,1775071754,80.0225,27.1158,10058.4,False,255.33,114.4,0.0,,10469.88,,False,0
3c7a43,CFG2367 ,Germany,1775071753.0,1775071754,77.7321,27.7619,10972.8,False,224.74,307.84,0.33,,11376.66,,False,0
40621c,BAW12   ,United Kingdom,1775071729.0,1775071729,83.598,23.5938,9753.6,False,235.91,312.7,0.0,,10203.18,2271,False,0
4cae84,SEJ902  ,Ireland,1775071754.0,1775071754,76.9381,28.2375,2735.58,False,140.55,326.95,-2.93,,2811.78,,False,0
4cacb9,ITY770  ,Ireland,1775071754.0,1775071754,74.8664,31.0725,12496.8,False,250.38,136.67,0.0,,12809.22,,False,0
4d232c,SEJ648  ,Malta,1775071754.0,1775071754,72.8668,18.4201,5737.86,False,201.56,161.7,11.38,,5974.08,,False,0
800b82,SEJ759  ,India,1775071754.0,1775071754,86.8118,23.8054,8892.54,False,253.16,93.85,-5.2,,9349.74,0562,False,0
4d229d,SEJ448  ,Malta,1775071753.0,1775071754,88.3964,22.5984,1127.76,False,91.67,246.17,5.53,,1097.28,2647,False,0
800c48,AIC2387 ,India,1775071753.0,1775071754,78.9147,25.8788,10972.8,False,211.35,318.35,0.0,,11407.14,,False,0
800c4a,AIC2303 ,India,1775071754.0,1775071754,78.4258,28.3343,8046.72,False,198.1,296.03,-5.2,,8366.76,6100,False,0
800d1b,SEJ152  ,India,1775071748.0,1775071748,76.8874,25.4055,11277.6,False,216.24,177.68,0.0,,11727.18,,False,0
800d2c,IGO595C ,India,1775071754.0,1775071754,75.9271,19.793,9761.22,False,211.85,233.49,0.0,,10256.52,,False,0
800d40,AIC2377 ,India,1775071754.0,1775071754,79.4265,27.8297,10363.2,False,205.32,303.45,0.0,,10751.82,0766,False,0
710102,SVA978  ,Saudi Arabia,1775071450.0,1775071450,95.5646,22.7397,12496.8,False,288.35,82.72,0.0,,13091.16,4524,False,0
800d9a,VTSHG   ,India,1775071754.0,1775071754,87.1464,23.6377,7429.5,False,218.75,122.91,-4.88,,7764.78,0241,False,0
010154,MSR959  ,Egypt,1775071754.0,1775071754,88.0683,22.7016,9144.0,False,226.92,274.03,0.0,,9585.96,2466,False,0
